genotype,YearCross
Asante,Asante
CIP312010.759,2012
CIP312084.731,2012
CIP312284.737,2012
CIP313001.649,2017
CIP313001.842,2017
CIP313010.015,2017
CIP313011.028,2017
CIP313023.012,2017
CIP313023.026,2017
CIP313023.034,2017
CIP313023.046,2017
CIP313023.070,2017
CIP313023.080,2017
CIP313023.091,2017
CIP313033.071,2017
CIP313033.079,2017
CIP313033.089,2017
CIP313038.001,2017
CIP314909.044,2018
CIP314909.060,2018
CIP314909.074,2018
CIP314909.078,2018
CIP314909.091,2018
CIP314909.096,2018
CIP314909.279,2018
CIP314909.301,2018
CIP314910.014,2018
CIP314910.019,2018
CIP314910.021,2018
CIP314910.057,2018
CIP314915.023,2018
CIP314915.052,2018
CIP314915.069,2018
CIP314915.527,2018
CIP314915.677,2018
CIP314915.869,2018
CIP314919.312,2018
CIP314926.026,2018
CIP314928.088,2018
CIP314935.058,2018
CIP314938.014,2018
CIP317001.017,2021
CIP317003.002,2021
CIP317003.044,2021
CIP317003.073,2021
CIP317004.001,2021
CIP317004.020,2021
CIP317004.071,2021
CIP317005.007,2021
CIP317005.022,2021
CIP317005.027,2021
CIP317005.036,2021
CIP317005.037,2021
CIP317005.058,2021
CIP317005.060,2021
CIP317005.089,2021
CIP317005.092,2021
CIP317005.094,2021
CIP317005.096,2021
CIP317005.100,2021
CIP317005.131,2021
CIP317005.132,2021
CIP317005.137,2021
CIP317005.139,2021
CIP317005.145,2021
CIP317005.147,2021
CIP317005.150,2021
CIP317006.066,2021
CIP317006.093,2021
CIP317007.008,2021
CIP317007.021,2021
CIP317007.103,2021
CIP317007.111,2021
CIP317009.007,2021
CIP317009.013,2021
CIP317009.024,2021
CIP317009.045,2021
CIP317009.067,2021
CIP317009.070,2021
CIP317009.098,2021
CIP317009.103,2021
CIP317009.830,2021
CIP317010.014,2021
CIP317010.029,2021
CIP317010.041,2021
CIP317011.038,2021
CIP317011.050,2021
CIP317011.111,2021
CIP317012.046,2021
CIP317013.120,2021
CIP317015.095,2021
CIP317017.004,2021
CIP317017.014,2021
CIP317017.049,2021
CIP317017.065,2021
CIP317017.111,2021
CIP317017.112,2021
CIP317017.121,2021
CIP317017.132,2021
CIP317017.143,2021
CIP317020.025,2021
CIP317020.071,2021
CIP317020.102,2021
CIP317020.107,2021
CIP317020.114,2021
CIP317020.123,2021
CIP317020.137,2021
CIP317022.011,2021
CIP317022.020,2021
CIP317022.034,2021
CIP317022.076,2021
CIP317024.064,2021
CIP317024.066,2021
CIP317024.068,2021
CIP317024.082,2021
CIP317024.109,2021
CIP317025.013,2021
CIP317025.071,2021
CIP317026.001,2021
CIP317026.004,2021
CIP317026.018,2021
CIP317026.032,2021
CIP317026.104,2021
CIP394611.112,1994
Dutch,Dutch
Kenyampya,Kenyampya
Sagitta,Sagitta
Shangi,Shangi
Sherekea,Sherekea
Taurus,Taurus
Unica,Unica
Wanjiku,Wanjiku
